channel,outcome,outcome_label,band,n,share,tau_mean,tau_se,tau_ci_low,tau_ci_high,oracle_mean,oracle_neg_share,mean_y,mean_baseline,label,oracle_label
display,sim_revenue_14d,14-day revenue (R$),top,18997,0.20000421127991325,18.628832626668633,0.014649519373567949,18.60011956869644,18.657545684640827,0.0,0.0,32.59343212086119,31.716218520380746,estimated (simulated),counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),all,94983,1.0,15.857058274475214,0.00645507629885105,15.844406324929466,15.869710224020963,0.0,0.0,29.605116073402606,29.65212735336011,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,bottom,18997,0.20000421127991325,0.11561398791128465,3.194986949789017e-05,0.11555136616706878,0.11567660965550051,0.017353967821421824,0.0,0.21735010791177553,0.2137567132012027,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,mid-low,18996,0.19999368308013013,0.12103825562823342,6.067756539849462e-06,0.12102636282541532,0.12105014843105152,0.017227628857020214,0.0,0.20778058538639713,0.21044657035488495,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,mid,18997,0.20000421127991325,0.12402107128347374,6.085066564231372e-06,0.12400914455300785,0.12403299801393963,0.017307047527834026,0.0,0.20534821287571722,0.21127332378609112,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,mid-high,18996,0.19999368308013013,0.12748558274467295,1.0036181012752547e-05,0.12746591182988795,0.12750525365945795,0.017561141357208945,0.0,0.21151821436091808,0.2108554564947747,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,top,18997,0.20000421127991325,0.1406825327302798,8.973439789192564e-05,0.14050665331041162,0.140858412150148,0.018652745622643574,0.0,0.2407748591882929,0.2361182261124121,estimated (simulated),counterfactual (simulated ground truth)
email,sim_converted_14d,14-day conversion,all,94983,1.0,0.12576831777825168,3.339389822865574e-05,0.12570286573772352,0.12583376981877983,0.01762051099852258,0.0,0.21655454133897645,0.21649018093912858,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),bottom,18997,0.20000421127991325,14.30442963987947,0.008115975108929264,14.288522328665968,14.32033695109297,2.434481640619181,0.0,31.07737484866031,30.088314950908334,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),mid-low,18996,0.19999368308013013,15.692836928680313,0.0018354569919058234,15.689239432976178,15.696434424384448,2.408174272852117,0.0,29.66189460939145,29.410605195035142,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),mid,18997,0.20000421127991325,16.510062729127732,0.0015479158837049811,16.50702881399567,16.513096644259793,2.375013242882773,0.0,28.34945096594199,29.036773253681847,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),mid-high,18996,0.19999368308013013,17.34522417527028,0.0024471346745713095,17.34042779130812,17.350020559232437,2.3737866598068775,0.0,26.853004316698254,28.602053673895583,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),top,18997,0.20000421127991325,20.923837359004565,0.03402254138463637,20.857153177890677,20.990521540118454,2.4788220168389516,0.0,32.083713744275414,31.122560079766576,estimated (simulated),counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),all,94983,1.0,16.955287352196553,0.010072740415148145,16.935544780982863,16.975029923410244,2.4140560524785113,0.0,29.605116073402606,29.65207502744842,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,bottom,18997,0.20000421127991325,0.10867699925039132,7.570881120327743e-05,0.10852860998043289,0.10882538852034974,0.021504470419482318,0.0,0.19518871400747487,0.2104308949280966,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,mid-low,18997,0.20000421127991325,0.11924235564577536,1.3275202075870845e-05,0.11921633624970665,0.11926837504184407,0.021415528589030227,0.0,0.20940148444491236,0.20758716884625433,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,mid,18996,0.19999368308013013,0.12534337808773655,1.4208913177566432e-05,0.1253155286179085,0.12537122755756458,0.021820300410974842,0.0,0.21272899557801642,0.21164661771339624,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,mid-high,18996,0.19999368308013013,0.13172430524882595,1.4030663806885371e-05,0.13169680514776444,0.13175180534988745,0.022273372078637388,0.0,0.21825647504737838,0.2182811085097362,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,top,18997,0.20000421127991325,0.14636301376986982,0.00011177365208766269,0.146143937411778,0.14658209012796164,0.023221614453496634,0.0,0.24719692583039427,0.23450050440179115,estimated (simulated),counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,all,94983,1.0,0.12626996273238408,4.92171631391715e-05,0.12617349709263131,0.12636642837213685,0.0220470571949766,0.0,0.21655454133897645,0.2164892909991977,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),bottom,18997,0.20000421127991325,15.151701026003481,0.01180377347242638,15.128565629997526,15.174836422009436,2.9895874147334704,0.0,29.283028899299886,29.301379640363745,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),mid-low,18996,0.19999368308013013,16.852321673854057,0.001610993259969655,16.849164127064515,16.8554792206436,2.979694337008853,0.0,28.640979153506002,29.17559600950882,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),mid,18997,0.20000421127991325,17.619569375102163,0.0016190179973223416,17.616396099827412,17.622742650376914,3.0150000598298665,0.0,29.6429367794915,29.399613168292195,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),mid-high,18996,0.19999368308013013,18.359665626239856,0.0016166503587661826,18.356496991536673,18.36283426094304,3.0236650195390933,0.0,28.398751842493155,29.14509216479101,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),top,18997,0.20000421127991325,20.560796280847256,0.027373882006412886,20.507143472114688,20.614449089579825,3.0945734309376824,0.0,32.05976943727957,31.24249041761778,estimated (simulated),counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),all,94983,1.0,17.70881296136828,0.008319201316197237,17.692507326788533,17.72511859594803,3.0205044487833366,0.0,29.605116073402606,29.652844650184996,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,bottom,18997,0.20000421127991325,0.09899996410419815,3.3842552236208665e-05,0.09893363270181518,0.09906629550658111,-0.01166707357684707,1.0,0.2259830499552561,0.22121105882998623,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,mid-low,18996,0.19999368308013013,0.10355000917673331,4.735082604721945e-06,0.10354072841482805,0.10355928993863857,-0.011395826378398607,1.0,0.21999368288060644,0.21338668055287785,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,mid,18997,0.20000421127991325,0.10549522810350559,3.7474128112855787e-06,0.10548788317439547,0.1055025730326157,-0.01128748414872917,1.0,0.2085066063062589,0.20974659152955338,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,mid-high,18996,0.19999368308013013,0.10736583864854456,4.199795027734968e-06,0.1073576070502902,0.10737407024679892,-0.011129646558733974,1.0,0.19972625815961256,0.20810718945763496,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,top,18997,0.20000421127991325,0.11697626024460815,8.462546423946208e-05,0.11681039433469881,0.1171421261545175,-0.011974020350090679,1.0,0.22856240459019844,0.22999433007195444,estimated (simulated),counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,all,94983,1.0,0.10647748152327834,2.6570866873870506e-05,0.10642540262420555,0.10652956042235112,-0.011490815004971573,1.0,0.21655454133897645,0.2164892909991977,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),bottom,18997,0.20000421127991325,13.840103806396721,0.007376831944236192,13.825645215786018,13.854562397007424,-1.594675055206538,1.0,33.40372743064695,30.429590317852373,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),mid-low,18996,0.19999368308013013,15.098824791178059,0.0012648506587571457,15.096345683886895,15.101303898469222,-1.5656372901526503,1.0,29.492635818066965,29.293505910133696,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),mid,18997,0.20000421127991325,15.752302788783975,0.0013494191357094072,15.749657927277985,15.754947650289965,-1.53096926813495,1.0,26.83695057114281,28.318557955723552,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),mid-high,18996,0.19999368308013013,16.544774108032264,0.0022794855360140464,16.540306316381677,16.54924189968285,-1.5855602786567626,1.0,29.098786586649823,29.745376202984005,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),top,18997,0.20000421127991325,19.191343471953562,0.025519854133825175,19.141324557851267,19.241362386055858,-1.5945166641829809,1.0,29.193447386429433,30.477178819530224,estimated (simulated),counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),all,94983,1.0,16.085475345217027,0.00788849792966893,16.070013889274875,16.10093680115918,-1.5742716833233943,1.0,29.605116073402606,29.652844650184996,estimated (simulated),counterfactual (simulated ground truth)
