channel,outcome,outcome_label,strategy,x_population_share,y_cum_incremental,label
email,sim_revenue_14d,14-day revenue (R$),propensity,0.8,0.9376,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,0.9,0.9716,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),propensity,1.0,1.0,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.1,0.174,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.2,0.2414,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.3,0.3329,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.4,0.4054,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.5,0.5058,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.6,0.6067,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.7,0.7094,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.8,0.8331,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,0.9,0.9126,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),baseline,1.0,1.0,estimated (simulated)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.1,0.0271,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.2,0.0904,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.3,0.1988,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.4,0.31,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.5,0.4041,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.6,0.5135,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.7,0.632,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.8,0.7484,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,0.9,0.8685,counterfactual (simulated ground truth)
email,sim_revenue_14d,14-day revenue (R$),oracle,1.0,1.0,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,uplift,0.1,0.2363,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.2,0.3489,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.3,0.4528,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.4,0.5371,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.5,0.6227,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.6,0.7022,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.7,0.7874,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.8,0.869,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,0.9,0.937,estimated (simulated)
social,sim_converted_14d,14-day conversion,uplift,1.0,1.0,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.1,0.2317,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.2,0.3291,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.3,0.4292,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.4,0.514,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.5,0.62,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.6,0.6961,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.7,0.7751,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.8,0.8393,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,0.9,0.9242,estimated (simulated)
social,sim_converted_14d,14-day conversion,propensity,1.0,1.0,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.1,0.2173,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.2,0.3267,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.3,0.4236,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.4,0.5263,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.5,0.6125,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.6,0.6947,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.7,0.7738,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.8,0.8606,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,0.9,0.9209,estimated (simulated)
social,sim_converted_14d,14-day conversion,baseline,1.0,1.0,estimated (simulated)
social,sim_converted_14d,14-day conversion,oracle,0.1,-0.0162,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.2,0.048,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.3,0.146,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.4,0.2501,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.5,0.3565,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.6,0.4681,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.7,0.5974,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.8,0.7163,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,0.9,0.8467,counterfactual (simulated ground truth)
social,sim_converted_14d,14-day conversion,oracle,1.0,1.0,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.1,0.2208,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.2,0.3323,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.3,0.4354,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.4,0.5517,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.5,0.6378,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.6,0.7346,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.7,0.8114,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.8,0.8935,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,0.9,0.9506,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),uplift,1.0,1.0,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.1,0.2243,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.2,0.3211,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.3,0.4336,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.4,0.5152,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.5,0.6265,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.6,0.7026,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.7,0.7711,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.8,0.8353,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,0.9,0.9093,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),propensity,1.0,1.0,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.1,0.2179,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.2,0.3138,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.3,0.4214,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.4,0.5222,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.5,0.6121,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.6,0.6911,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.7,0.7741,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.8,0.8346,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,0.9,0.9123,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),baseline,1.0,1.0,estimated (simulated)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.1,0.0409,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.2,0.1249,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.3,0.2322,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.4,0.3341,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.5,0.4213,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.6,0.5266,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.7,0.6424,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.8,0.749,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,0.9,0.8646,counterfactual (simulated ground truth)
social,sim_revenue_14d,14-day revenue (R$),oracle,1.0,1.0,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,uplift,0.1,0.2098,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.2,0.3207,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.3,0.4206,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.4,0.5143,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.5,0.604,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.6,0.7033,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.7,0.7973,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.8,0.8831,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,0.9,0.9603,estimated (simulated)
search,sim_converted_14d,14-day conversion,uplift,1.0,1.0,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.1,0.1862,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.2,0.3219,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.3,0.4097,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.4,0.5141,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.5,0.6195,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.6,0.7164,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.7,0.8095,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.8,0.8857,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,0.9,0.9481,estimated (simulated)
search,sim_converted_14d,14-day conversion,propensity,1.0,1.0,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.1,0.1612,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.2,0.2353,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.3,0.3332,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.4,0.4261,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.5,0.5178,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.6,0.6179,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.7,0.6941,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.8,0.7987,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,0.9,0.9084,estimated (simulated)
search,sim_converted_14d,14-day conversion,baseline,1.0,1.0,estimated (simulated)
search,sim_converted_14d,14-day conversion,oracle,0.1,0.0566,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.2,0.1328,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.3,0.2282,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.4,0.3353,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.5,0.4568,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.6,0.5578,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.7,0.6623,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.8,0.7562,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,0.9,0.8683,counterfactual (simulated ground truth)
search,sim_converted_14d,14-day conversion,oracle,1.0,1.0,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.1,0.1822,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.2,0.2991,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.3,0.3972,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.4,0.5036,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.5,0.6207,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.6,0.7061,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.7,0.7943,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.8,0.878,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,0.9,0.9648,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),uplift,1.0,1.0,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.1,0.1822,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.2,0.3031,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.3,0.3955,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.4,0.5187,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.5,0.6282,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.6,0.7375,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.7,0.8198,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.8,0.8978,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,0.9,0.9582,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),propensity,1.0,1.0,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.1,0.1533,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.2,0.2309,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.3,0.3196,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.4,0.4092,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.5,0.5143,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.6,0.6002,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.7,0.7035,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.8,0.7952,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,0.9,0.899,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),baseline,1.0,1.0,estimated (simulated)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.1,0.0841,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.2,0.1671,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.3,0.2479,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.4,0.3673,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.5,0.4773,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.6,0.5605,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.7,0.6653,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.8,0.7595,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,0.9,0.8712,counterfactual (simulated ground truth)
search,sim_revenue_14d,14-day revenue (R$),oracle,1.0,1.0,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,uplift,0.1,0.1853,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.2,0.3074,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.3,0.4143,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.4,0.5142,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.5,0.6017,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.6,0.6949,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.7,0.7767,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.8,0.8666,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,0.9,0.9496,estimated (simulated)
display,sim_converted_14d,14-day conversion,uplift,1.0,1.0,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.1,0.1519,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.2,0.2483,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.3,0.3615,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.4,0.4431,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.5,0.5478,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.6,0.6552,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.7,0.7598,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.8,0.8448,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,0.9,0.9264,estimated (simulated)
display,sim_converted_14d,14-day conversion,propensity,1.0,1.0,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.1,0.1289,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.2,0.2537,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.3,0.3312,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.4,0.422,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.5,0.5196,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.6,0.6066,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.7,0.7028,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.8,0.8095,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,0.9,0.9118,estimated (simulated)
display,sim_converted_14d,14-day conversion,baseline,1.0,1.0,estimated (simulated)
display,sim_converted_14d,14-day conversion,oracle,0.1,0.1053,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.2,0.216,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.3,0.3103,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.4,0.4135,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.5,0.5191,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.6,0.6191,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.7,0.7174,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.8,0.8139,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,0.9,0.9039,counterfactual (simulated ground truth)
display,sim_converted_14d,14-day conversion,oracle,1.0,1.0,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.1,0.1703,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.2,0.2841,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.3,0.4067,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.4,0.5136,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.5,0.6158,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.6,0.728,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.7,0.8219,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.8,0.9015,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,0.9,0.9762,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),uplift,1.0,1.0,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.1,0.138,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.2,0.2436,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.3,0.3543,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.4,0.4415,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.5,0.5491,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.6,0.657,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.7,0.7549,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.8,0.8335,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,0.9,0.9118,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),propensity,1.0,1.0,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.1,0.1177,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.2,0.2336,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.3,0.3345,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.4,0.4265,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.5,0.5191,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.6,0.6124,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.7,0.7116,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.8,0.8061,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,0.9,0.9077,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),baseline,1.0,1.0,estimated (simulated)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.1,0.101,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.2,0.2196,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.3,0.3059,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.4,0.3976,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.5,0.4989,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.6,0.591,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.7,0.6961,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.8,0.8055,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,0.9,0.9091,counterfactual (simulated ground truth)
display,sim_revenue_14d,14-day revenue (R$),oracle,1.0,1.0,counterfactual (simulated ground truth)
